type,clock_cycle,thickness tFE,Vdd,T_RISE ,T_FALL ,T_DELAY 
ncfet_inverter,100ps,80nm,0.6,2.81216e-12,2.845172e-12,3.301806e-12
ncfet_inverter,100ps,80nm,0.7,3.183302e-12,3.272277e-12,3.279137e-12
ncfet_inverter,100ps,80nm,0.8,3.569075e-12,3.668218e-12,3.254651e-12
ncfet_inverter,100ps,80nm,0.9,3.883156e-12,4.025802e-12,3.226556e-12
ncfet_inverter,100ps,8nm,0.3,2.503453e-12,2.401915e-12,4.518085e-12
ncfet_inverter,100ps,8nm,0.4,2.382789e-12,2.392007e-12,2.672975e-12
ncfet_inverter,100ps,8nm,0.5,2.007514e-12,2.004496e-12,1.789114e-12
ncfet_inverter,100ps,8nm,0.6,1.879468e-12,1.883763e-12,1.427083e-12
ncfet_inverter,100ps,8nm,0.7,2.072529e-12,2.063123e-12,1.287397e-12
ncfet_inverter,100ps,8nm,0.8,2.373443e-12,2.382313e-12,1.225417e-12
ncfet_inverter,100ps,8nm,0.9,2.682605e-12,2.70542e-12,1.201034e-12
ncfet_inverter,100ps,90nm,0.3,3.203518e-12,3.257899e-12,5.307639e-12
ncfet_inverter,100ps,90nm,0.4,2.968736e-12,2.885427e-12,3.872154e-12
ncfet_inverter,100ps,90nm,0.5,2.668266e-12,2.663469e-12,3.549914e-12
ncfet_inverter,100ps,90nm,0.6,2.930436e-12,2.987264e-12,3.514039e-12
ncfet_inverter,100ps,90nm,0.7,3.320054e-12,3.405686e-12,3.489161e-12
ncfet_inverter,100ps,90nm,0.8,3.698128e-12,3.812099e-12,3.461225e-12
ncfet_inverter,100ps,90nm,0.9,4.010049e-12,4.153612e-12,3.431019e-12
ncfet_inverter,100ps,9nm,0.3,2.518667e-12,2.413705e-12,4.531304e-12
ncfet_inverter,100ps,9nm,0.4,2.403108e-12,2.405071e-12,2.690368e-12
ncfet_inverter,100ps,9nm,0.5,2.013267e-12,2.009442e-12,1.812304e-12
ncfet_inverter,100ps,9nm,0.6,1.902603e-12,1.897737e-12,1.458415e-12
ncfet_inverter,100ps,9nm,0.7,2.090771e-12,2.080039e-12,1.323243e-12
ncfet_inverter,100ps,9nm,0.8,2.395306e-12,2.390387e-12,1.264812e-12
ncfet_inverter,100ps,9nm,0.9,2.701713e-12,2.728663e-12,1.241155e-12
ncfet_inverter,200ps,0nm,0.3,4.615415e-12,4.598633e-12,6.375453e-12
ncfet_inverter,200ps,0nm,0.4,3.760646e-12,3.750426e-12,3.396138e-12
ncfet_inverter,200ps,0nm,0.5,3.113706e-12,3.093362e-12,2.080474e-12
ncfet_inverter,200ps,0nm,0.6,3.088559e-12,3.079546e-12,1.549306e-12
ncfet_inverter,200ps,0nm,0.7,3.641145e-12,3.634518e-12,1.334569e-12
ncfet_inverter,200ps,0nm,0.8,4.387598e-12,4.384197e-12,1.238303e-12
ncfet_inverter,200ps,0nm,0.9,5.083558e-12,5.067476e-12,1.20322e-12
ncfet_inverter,200ps,100nm,0.3,5.662126e-12,5.669001e-12,7.12896e-12
ncfet_inverter,200ps,100nm,0.4,4.58801e-12,4.5581e-12,5.022301e-12
ncfet_inverter,200ps,100nm,0.5,4.245779e-12,4.238344e-12,4.615504e-12
ncfet_inverter,200ps,100nm,0.6,4.769034e-12,4.878865e-12,4.591653e-12
ncfet_inverter,200ps,100nm,0.7,5.579953e-12,5.656445e-12,4.565261e-12
ncfet_inverter,200ps,100nm,0.8,6.309723e-12,6.489396e-12,4.528763e-12
ncfet_inverter,200ps,100nm,0.9,6.958346e-12,7.186382e-12,4.489213e-12
ncfet_inverter,200ps,10nm,0.3,4.745356e-12,4.760891e-12,6.474413e-12
ncfet_inverter,200ps,10nm,0.4,3.928521e-12,3.91999e-12,3.5741e-12
ncfet_inverter,200ps,10nm,0.5,3.256617e-12,3.269666e-12,2.362296e-12
ncfet_inverter,200ps,10nm,0.6,3.280824e-12,3.277311e-12,1.916636e-12
ncfet_inverter,200ps,10nm,0.7,3.781522e-12,3.793271e-12,1.743907e-12
ncfet_inverter,200ps,10nm,0.8,4.521721e-12,4.552695e-12,1.674542e-12
ncfet_inverter,200ps,10nm,0.9,5.193318e-12,5.208592e-12,1.650498e-12
ncfet_inverter,200ps,1nm,0.3,4.631506e-12,4.611725e-12,6.389683e-12
ncfet_inverter,200ps,1nm,0.4,3.785603e-12,3.768006e-12,3.414601e-12
ncfet_inverter,200ps,1nm,0.5,3.124513e-12,3.11259e-12,2.109695e-12
ncfet_inverter,200ps,1nm,0.6,3.107636e-12,3.112144e-12,1.586426e-12
ncfet_inverter,200ps,1nm,0.7,3.649543e-12,3.645881e-12,1.377553e-12
ncfet_inverter,200ps,1nm,0.8,4.382723e-12,4.391585e-12,1.286598e-12
ncfet_inverter,200ps,1nm,0.9,5.060194e-12,5.079323e-12,1.249883e-12
ncfet_inverter,200ps,200nm,0.3,6.103318e-12,6.053611e-12,7.819192e-12
ncfet_inverter,200ps,200nm,0.4,5.074341e-12,5.100772e-12,6.76995e-12
ncfet_inverter,200ps,200nm,0.5,5.487364e-12,5.569918e-12,6.788777e-12
ncfet_inverter,200ps,200nm,0.6,6.270429e-12,6.522145e-12,6.782653e-12
ncfet_inverter,200ps,200nm,0.7,7.074047e-12,7.397935e-12,6.713457e-12
ncfet_inverter,200ps,200nm,0.8,7.749707e-12,8.166211e-12,6.612688e-12
ncfet_inverter,200ps,200nm,0.9,8.28572e-12,8.826264e-12,6.512776e-12
ncfet_inverter,200ps,20nm,0.3,4.905253e-12,4.907752e-12,6.557613e-12
ncfet_inverter,200ps,20nm,0.4,4.056584e-12,4.037755e-12,3.749419e-12
ncfet_inverter,200ps,20nm,0.5,3.400896e-12,3.392764e-12,2.62714e-12
ncfet_inverter,200ps,20nm,0.6,3.431098e-12,3.438147e-12,2.259567e-12
ncfet_inverter,200ps,20nm,0.7,4.006802e-12,4.011631e-12,2.128384e-12
ncfet_inverter,200ps,20nm,0.8,4.685288e-12,4.72945e-12,2.078851e-12
ncfet_inverter,200ps,20nm,0.9,5.379629e-12,5.419792e-12,2.063033e-12
ncfet_inverter,200ps,2nm,0.3,4.64744e-12,4.628633e-12,6.399327e-12
ncfet_inverter,200ps,2nm,0.4,3.807541e-12,3.784556e-12,3.432907e-12
ncfet_inverter,200ps,2nm,0.5,3.136179e-12,3.145021e-12,2.138608e-12
ncfet_inverter,200ps,2nm,0.6,3.107579e-12,3.131061e-12,1.624316e-12
ncfet_inverter,200ps,2nm,0.7,3.666167e-12,3.657016e-12,1.417365e-12
ncfet_inverter,200ps,2nm,0.8,4.389617e-12,4.402304e-12,1.331269e-12
ncfet_inverter,200ps,2nm,0.9,5.088217e-12,5.08785e-12,1.296065e-12
ncfet_inverter,200ps,300nm,0.3,6.308945e-12,6.226008e-12,8.782749e-12
ncfet_inverter,200ps,300nm,0.4,5.884436e-12,6.045847e-12,8.545153e-12
ncfet_inverter,200ps,300nm,0.5,6.707741e-12,7.068834e-12,8.593537e-12
ncfet_inverter,200ps,300nm,0.6,7.521164e-12,8.08608e-12,8.529264e-12
ncfet_inverter,200ps,300nm,0.7,8.241564e-12,8.998607e-12,8.396925e-12
ncfet_inverter,200ps,300nm,0.8,8.807434e-12,9.79987e-12,8.246828e-12
ncfet_inverter,200ps,300nm,0.9,9.343973e-12,1.048067e-11,8.103873e-12
ncfet_inverter,200ps,30nm,0.3,5.030115e-12,5.028652e-12,6.642043e-12
ncfet_inverter,200ps,30nm,0.4,4.154303e-12,4.155573e-12,3.909644e-12
ncfet_inverter,200ps,30nm,0.5,3.51873e-12,3.508482e-12,2.883453e-12
ncfet_inverter,200ps,30nm,0.6,3.589977e-12,3.610388e-12,2.586579e-12
ncfet_inverter,200ps,30nm,0.7,4.206475e-12,4.195638e-12,2.493742e-12
ncfet_inverter,200ps,30nm,0.8,4.920771e-12,4.954208e-12,2.453472e-12
ncfet_inverter,200ps,30nm,0.9,5.583535e-12,5.611619e-12,2.444847e-12
