gate_type,voltage,thickness,clock_cycle,t_rise,t_fall,t_delay
buffer,0.7,0.2,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,0.2,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,0.2,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,0.3,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,0.3,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,0.3,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,0.3,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,0.3,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,0.3,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,0.3,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,0.4,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,0.4,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,0.4,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,0.4,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,0.4,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,0.4,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,0.4,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,0.5,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,0.5,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,0.5,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,0.5,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,0.5,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,0.5,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,0.5,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,0.6,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,0.6,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,0.6,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,0.6,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,0.6,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,0.6,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,0.6,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,0.7,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,0.7,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,0.7,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,0.7,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,0.7,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,0.7,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,0.7,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,0.8,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,0.8,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,0.8,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,0.8,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,0.8,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,0.8,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,0.8,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,0.9,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,0.9,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,0.9,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,0.9,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,0.9,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,0.9,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,0.9,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,1,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,1,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,1,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,1,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,1,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,1,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,1,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,2,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,2,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,2,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,2,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,2,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,2,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,2,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,3,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,3,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,3,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,3,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,3,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,3,200,1.118797e-12,1.493823e-12,9.734947e-12
