gate_type,voltage,thickness,clock_cycle,t_rise,t_fall,t_delay
nand3,0.6,0.3,100,8.074535e-13,4.579799e-12,9.117836e-12
nand3,0.7,0.3,100,8.756543e-13,4.152647e-12,9.201223e-12
nand3,0.8,0.3,100,9.096528e-13,3.83721e-12,9.375306e-12
nand3,0.9,0.3,100,9.308323e-13,3.535662e-12,9.587778e-12
nand3,0.3,0.4,100,1.977015e-12,1.227493e-11,1.632233e-11
nand3,0.4,0.4,100,1.041346e-12,6.330658e-12,1.053187e-11
nand3,0.5,0.4,100,8.290432e-13,5.132249e-12,9.340901e-12
nand3,0.6,0.4,100,8.074535e-13,4.579799e-12,9.117836e-12
nand3,0.7,0.4,100,8.756543e-13,4.152647e-12,9.201223e-12
nand3,0.8,0.4,100,9.096528e-13,3.83721e-12,9.375306e-12
nand3,0.9,0.4,100,9.308323e-13,3.535662e-12,9.587778e-12
nand3,0.3,0.5,100,1.977015e-12,1.227493e-11,1.632233e-11
nand3,0.4,0.5,100,1.041346e-12,6.330658e-12,1.053187e-11
nand3,0.5,0.5,100,8.290432e-13,5.132249e-12,9.340901e-12
nand3,0.6,0.5,100,8.074535e-13,4.579799e-12,9.117836e-12
nand3,0.7,0.5,100,8.756543e-13,4.152647e-12,9.201223e-12
nand3,0.8,0.5,100,9.096528e-13,3.83721e-12,9.375306e-12
nand3,0.9,0.5,100,9.308323e-13,3.535662e-12,9.587778e-12
nand3,0.3,0.6,100,1.977015e-12,1.227493e-11,1.632233e-11
nand3,0.4,0.6,100,1.041346e-12,6.330658e-12,1.053187e-11
nand3,0.5,0.6,100,8.290432e-13,5.132249e-12,9.340901e-12
nand3,0.6,0.6,100,8.074535e-13,4.579799e-12,9.117836e-12
nand3,0.7,0.6,100,8.756543e-13,4.152647e-12,9.201223e-12
nand3,0.8,0.6,100,9.096528e-13,3.83721e-12,9.375306e-12
nand3,0.9,0.6,100,9.308323e-13,3.535662e-12,9.587778e-12
nand3,0.3,0.7,100,1.977015e-12,1.227493e-11,1.632233e-11
nand3,0.4,0.7,100,1.041346e-12,6.330658e-12,1.053187e-11
nand3,0.5,0.7,100,8.290432e-13,5.132249e-12,9.340901e-12
nand3,0.6,0.7,100,8.074535e-13,4.579799e-12,9.117836e-12
nand3,0.7,0.7,100,8.756543e-13,4.152647e-12,9.201223e-12
nand3,0.8,0.7,100,9.096528e-13,3.83721e-12,9.375306e-12
nand3,0.9,0.7,100,9.308323e-13,3.535662e-12,9.587778e-12
nand3,0.3,0.8,100,1.977015e-12,1.227493e-11,1.632233e-11
nand3,0.4,0.8,100,1.041346e-12,6.330658e-12,1.053187e-11
nand3,0.5,0.8,100,8.290432e-13,5.132249e-12,9.340901e-12
nand3,0.6,0.8,100,8.074535e-13,4.579799e-12,9.117836e-12
nand3,0.7,0.8,100,8.756543e-13,4.152647e-12,9.201223e-12
nand3,0.8,0.8,100,9.096528e-13,3.83721e-12,9.375306e-12
nand3,0.9,0.8,100,9.308323e-13,3.535662e-12,9.587778e-12
nand3,0.3,0.9,100,1.977015e-12,1.227493e-11,1.632233e-11
nand3,0.4,0.9,100,1.041346e-12,6.330658e-12,1.053187e-11
nand3,0.5,0.9,100,8.290432e-13,5.132249e-12,9.340901e-12
nand3,0.6,0.9,100,8.074535e-13,4.579799e-12,9.117836e-12
nand3,0.7,0.9,100,8.756543e-13,4.152647e-12,9.201223e-12
nand3,0.8,0.9,100,9.096528e-13,3.83721e-12,9.375306e-12
nand3,0.9,0.9,100,9.308323e-13,3.535662e-12,9.587778e-12
nand3,0.3,1,100,1.977015e-12,1.227493e-11,1.632233e-11
nand3,0.4,1,100,1.041346e-12,6.330658e-12,1.053187e-11
